node,title,in_degree,out_degree,weighted_in_degree,weighted_out_degree,pagerank,hub_score,authority_score,mean_visits,median_visits,std_visits,max_visits,total_visits,visit_slope,gmm_cluster,cluster_confidence,p_cluster_0,p_cluster_1,p_cluster_2,p_cluster_3,p_cluster_4,cluster_entropy,cluster_entropy_normalized,svd_1,svd_2,svd_3,svd_4,svd_5,svd_6,svd_7,svd_8,svd_9,svd_10,svd_11,svd_12,svd_13,svd_14,svd_15,svd_16,svd_17,svd_18,svd_19,svd_20
0,Mathematics,0,533,0.0,654.0,0.0002935158271486788,0.016305756647221968,-0.0,4367.558139534884,4299.0,938.0658801262325,15251.0,3192685.0,-0.10845225540014684,3,1.0,1.036340322020329e-29,3.499994872695893e-48,3.808250628595139e-69,1.0,6.48018222961617e-56,-1.0000889005818408e-12,-6.213901715968122e-13,0.0002641609001892943,0.0013847017124536184,0.0006656461760570258,0.001602908564636246,0.0015083762683741927,0.0013000981767671794,0.0030679707486880405,0.0029698228813460174,0.006333632723819325,-0.0023443182587578534,0.005371901206326107,0.009744847265030509,-0.0005060950593507064,0.0028381467071850056,-0.0009700971604957499,0.0026345091871679727,-0.0005216826630901609,0.00279459707181771,0.0005806159356712647,0.004753421049265356
1,Number theory,1,176,1.0,247.0,0.0002938975220744363,0.006679461985563514,0.00011665691638378532,839.0916552667578,813.0,161.09599341973765,1836.0,613376.0,-0.16405936697711887,3,1.0,1.2719281858295754e-20,1.7899001014808201e-28,1.1622417511541339e-38,1.0,8.094762006526391e-82,-1.0000885491350906e-12,-6.213899532306687e-13,5.5518459494991e-05,0.009166959644242644,3.064503839300997e-05,0.008396032737580932,0.0004702461221466038,0.00048421643837269056,0.00028247474245041675,0.0010912494245231585,0.002146194985239603,-0.000954907322407875,0.0008829922512526149,0.004971479357900327,0.003252673286704839,-0.0014073218079700947,0.00017072503649942223,0.000449511301115092,-0.00045785290544829725,7.718638562261856e-05,0.0038236965274562975,0.0001539961036491082
2,Algebra,2,131,8.0,186.0,0.0002990904342938357,0.0069997491156972074,0.0006577762163682731,1863.001367989056,1839.0,331.4564365873347,4004.0,1361854.0,0.29564824033844284,3,1.0,1.5653102344066654e-23,1.3783628077777914e-24,5.065837735071928e-22,1.0,7.692734948101692e-86,-1.0000888861138174e-12,-6.213901626073238e-13,5.46325732398655e-05,0.0007065616599969387,0.00012504407607604593,0.0017531772638747153,0.000571893107408604,0.00041227551783773827,0.00044043596218570056,0.0008554762173469983,0.001995085098533084,-0.000850362625662841,0.0007027293914200258,0.004272029253160423,0.0007072273961609302,-0.000393377555598417,-0.00013259423193512333,0.00040258330482353174,-0.00010034583880518358,0.0011469344168782848,0.0016227188141807812,5.722205686621448e-05
3,Geometry,3,198,8.0,267.0,0.00030106223871628713,0.006999886752794482,0.0005246195446529598,1249.124487004104,1217.0,330.3341873579829,4600.0,913110.0,-0.2502351202389572,3,1.0,2.7148428847006554e-19,5.0951026969731916e-21,4.382844786886435e-19,1.0,9.402352874827789e-66,-1.0000691481634239e-12,-6.213778987292078e-13,7.620836797953997e-05,0.0004988806399642701,0.0001814483743231749,0.000659475612266234,0.0007435889688475381,0.00047818588152983877,0.0007716216394349692,0.0020568355327816694,0.007890139921641375,-0.00608171577999775,-0.002555292168893589,0.0022069138806916425,-0.00041409736683363643,0.0002166089332252563,-0.00020233880633167446,0.0007401711074912024,-0.00234939835092203,0.004481009084722981,0.0017079796814895383,-4.611291630965711e-05
4,Calculus,4,197,7.0,314.0,0.0002999443553178175,0.013189130632037242,0.00048141726198536834,2482.0205198358412,2468.0,337.4829836966876,4648.0,1814357.0,0.2660502472548824,3,0.9999999999999982,1.9065533474437416e-16,9.047080357838104e-22,1.596398584804322e-15,0.9999999999999982,1.1842674600582814e-133,-9.48936976960475e-13,-5.896076944809326e-13,0.00014399209637227126,0.0004929246869496867,0.0003341344702594969,0.0008900055075640614,0.0009539688778780048,0.0003880794342467993,0.0008143070856426441,0.0009683872445627356,0.0024207379265876188,-0.0010402224161969685,0.0009324939639771386,0.005447012882163477,-0.0017269895299836127,-0.0003072949983244667,-5.675155797337992e-05,0.001700619442175304,-0.0023706948472614836,0.004844683417055524,0.0011343913383472478,0.0005772098896666835
5,Mathematical analysis,5,184,15.0,248.0,0.0003047958994187429,0.009317513187783247,0.0013008941495671299,519.9507523939808,519.0,76.87430203512349,909.0,380084.0,-0.01056973533881614,3,0.9999999999999947,9.854428542298197e-19,2.407993280210013e-20,5.657639632181289e-15,0.9999999999999947,4.7298199573844513e-66,-8.384374944549673e-13,-5.20950505749502e-13,9.758183896234239e-05,0.00042271779803972515,0.0003650200200832257,0.000799985149611952,0.0008219581182605485,0.0004723631041834258,0.0007570614790371111,0.0010107375305792368,0.002044323240517286,-0.00068510477145763,0.0009276243875538119,0.004709617381108546,-0.0012961205184648442,0.00048694917894690187,-0.00020557276275292164,0.0013004191525320605,-0.00022041093590726134,0.0008543279355326962,0.0003660744944799687,0.0007686866325457389
6,Conjecture,2,38,7.0,46.0,0.000298078477433304,0.0010358215893743028,0.0006099890786599899,242.5266757865937,235.0,72.27493704642384,1538.0,177287.0,0.02138975154086932,3,1.0,6.88479051686726e-18,3.8109277412702013e-17,1.4249641823053833e-17,1.0,1.317715120861479e-31,-9.984519380894207e-13,-6.203730696137078e-13,5.84704550310446e-05,0.0007007459585277064,0.00010338646861651507,0.0016702363227739617,0.0006224024276654598,0.00039789028292444654,0.0004120325759059542,0.000889244605005511,0.0021075389225541,-0.0009651319164913305,0.0008941686862314407,0.0033208796554215192,-0.00038385550215550154,-3.0432945755818298e-05,0.0001555836098273451,0.0008111103908189247,2.31202309149215e-05,0.0006264948296328484,0.0030623904588543555,0.0013138890341514201
7,Mathematical proof,6,56,10.0,68.0,0.0003057166569621311,0.0013129233718975372,0.0007641302221107153,540.15731874145,529.0,148.69811184271254,2590.0,394855.0,0.01874578167533653,3,0.9999930747495751,5.926644346189208e-10,3.803882251561766e-10,6.924277372252148e-06,0.9999930747495751,2.2391247974024504e-28,8.920978209078671e-05,5.542915411745619e-05,0.00015425707457532195,0.0003662899269811575,8.39158362579685e-05,0.0006119373872950143,0.003887824133655324,0.0005687033575106197,0.0004873168642093025,0.0012515291238761746,0.0025037132211375747,-0.001043679979375925,0.0016200678102250522,0.008849663451510852,-0.007581599732366272,-0.004242242290745573,-0.0010399359838211672,-0.006910459095753414,1.1417999749981746e-05,-0.0010021062975448733,0.0007348703687221652,-0.0009212931092279812
8,Counting,1,26,2.0,33.0,0.0002942792170001938,0.0008401700421965158,0.00023331383276756923,371.8891928864569,322.0,460.1535936174442,9547.0,271851.0,-0.15625049344990374,3,0.9999999999980536,1.9465890965368997e-12,8.342095853381961e-23,1.734619591789634e-25,0.9999999999980536,6.03251299346984e-38,5.2629131435437096e-11,3.270031793636652e-11,5.318129715933973e-05,0.0010432188592200942,6.030524594557946e-05,0.0011510620558078187,0.0006729113998720745,0.000902224464822013,0.0006710304416004312,0.001917644207088092,0.003172154863265373,-0.0013462175366656941,0.0019273870572688563,0.006556426827129597,0.0010264591426751878,0.005582760750676379,-0.0019295963305331505,-0.00024277276447887198,0.0007879539491699541,0.0007164497579970461,0.008693547645030946,0.0005497401559904217
9,Shape,2,47,3.0,63.0,0.00029581550925756185,0.0012816327463901342,0.00021681604684104416,537.1696306429549,528.0,160.02707092210156,1898.0,392671.0,-0.19630510856205086,3,0.999999999999631,2.124714808643231e-13,1.5644013524468248e-13,1.208929017469519e-16,0.999999999999631,8.758808808784191e-55,9.502021320485343e-12,5.903937795347797e-12,7.105491157018449e-05,0.0005475839850915524,0.00010219844051395542,0.0005341562355632117,0.0005309989946420332,0.00031048850776920037,0.0005301903712957563,0.0012030455335083979,0.003905632764501864,-0.0026765960473910853,-0.0005706485123717664,0.002296141275299825,0.00016613749885440425,9.09438799709481e-05,-0.00019408755166187985,0.00019067792822590368,0.00038004200342425977,0.0010262537005855453,0.004876666075617982,7.442371617257071e-05
10,Foundations of mathematics,7,116,8.0,142.0,0.0003032991791469032,0.00441411659759522,0.0005516723830479844,265.3050615595075,260.0,42.733881630660385,620.0,193938.0,-0.030309359680972526,3,0.9999999993826483,4.5483850489019136e-11,6.401971087815522e-15,5.71861497342652e-10,0.9999999993826483,1.9563392964266316e-34,1.386810489428727e-08,8.616738046957814e-09,5.254046372272831e-05,0.0002536729646465589,0.0001037653668505968,0.0006089524743002824,0.00042543824683001415,0.001231596633925038,0.0003506415655659403,0.0010453804397422039,0.0014284531972052865,-0.0004109914107022826,0.0009657701842168579,0.0034927025396085352,0.00019099890306248536,0.0028161762383371704,-0.0010925075218200097,-0.0006483000969879349,-0.0013333544077837073,-1.3021177754843944e-06,0.0004785642423729883,0.00038355481142284643
11,Axiom,7,127,7.0,182.0,0.00030783232020466304,0.005139409050502187,0.0003572669421275417,824.03146374829,803.0,377.5271151536575,10411.0,602367.0,-0.14522753685475565,3,0.9999999987227468,1.2568813291151496e-09,1.7965519591042343e-14,2.035391823721979e-11,0.9999999987227468,3.2149734217751445e-80,2.753516181930642e-08,1.7108557967087075e-08,6.637577223934372e-05,0.00042080110504786667,0.00015416690493747195,0.000691955496749231,0.000748869125626571,0.0027067494105364486,0.0008649206530509664,0.002857558919573917,0.003534718388208465,-0.0010071044831508182,0.0031739057307534468,0.01057947340129813,0.001497073858756724,0.01685653408858484,-0.006666192398174539,-0.00488310132753407,-0.007949675996874695,-0.004901945523051482,0.0009018996029128653,-0.000694685601892153
12,Applied mathematics,7,91,13.0,109.0,0.0003061438543618382,0.00376804002627769,0.0009217033088411423,541.7045143638851,532.0,102.16401458269624,1628.0,395986.0,-0.19544004671991372,3,0.9999991069782928,1.1958749663178217e-11,7.437300817094564e-13,8.930090048784866e-07,0.9999991069782928,1.0743624155170413e-28,1.3331766238710117e-05,8.283492103492994e-06,0.00015210559937047164,0.00036859729971355255,0.0028122548868332606,0.0007027125135870549,0.0009985615529306737,0.0004530624002589709,0.00108020262439621,0.0009363833370816904,0.0022439758609647826,-0.0007519021811048057,0.0010830447558297048,0.005354904920494021,-0.0020030980093212673,-6.305082878049503e-05,-7.385693964869783e-05,0.0016298011543711423,-0.0008492278510408599,0.0016706210801760656,0.00023605199580150783,0.0007566709341285539
13,Statistics,9,160,15.0,224.0,0.00031113758332755885,0.004732496858879828,0.0010523314460879462,2600.5978112175103,2552.0,571.5629850724429,5917.0,1901037.0,-0.3759489521658497,3,0.9998298719646734,2.0102499101993633e-11,1.7797737862835642e-10,0.00017012783724675622,0.9998298719646734,5.791224093683422e-72,0.001646650815120767,0.0010231216764555932,0.00019596487834844356,0.00040866421110262544,0.0003470516008982573,0.0009366770974676334,0.011546653193669893,0.0001311948416081921,0.0007417471605637584,0.001312303281072523,0.0035260235955654334,-0.0014602108498601677,0.002233811949087761,0.01243509259382165,-0.01263675763133063,-0.007948043299766113,-0.0006933002954127585,-0.00849695088762775,4.73860978940094e-05,-0.0015438808810271625,-0.0003116580330984811,-4.306977127523936e-05
14,Game theory,9,100,10.0,142.0,0.0003068692688699501,0.003191686269153806,0.0005449760179294466,2755.032831737346,2740.0,589.6782577155848,13017.0,2013929.0,-0.37439780679374146,3,0.9999095478624039,4.395722326727701e-09,3.1571596483876865e-12,9.044773871669834e-05,0.9999095478624039,1.4101048222537434e-76,0.0009326679409423759,0.0005794991740512791,0.010087083935382098,0.00032590443133649594,0.00021427377746701057,0.0007900236507955992,0.0007041543319603474,0.0009183833842618159,0.0007235381073730746,0.0011382901672214343,0.0028318765046027854,-5.848802342964375e-05,0.002174885827369552,0.005083819825032476,-0.0012691241533138364,0.002986976924881253,-0.0006595053813400505,-0.0004813339468272378,-0.0022107039784960937,-3.638350360298166e-05,-0.0011694844692997862,0.003932409227238539
15,Pure mathematics,12,53,21.0,61.0,0.00032705408733549877,0.0022734007790810554,0.001103854998663475,363.61149110807116,358.0,62.543354741040226,1141.0,265800.0,0.062166178260064126,3,0.9385400371342737,7.208341599246667e-08,1.3976062266521642e-08,0.06145987680624812,0.9385400371342737,2.396471513508807e-18,0.2309671916511702,0.14350798490999717,0.00010554328970254294,0.00022133201048060022,0.00010354209527736844,0.000390701247923533,0.00048207494525235044,0.000382654829299489,0.0002831596083972474,0.0005222656599399857,0.00115571267745391,-0.0004255187988701299,0.0004683637665706487,0.002297543185236498,-0.0003515377922788733,0.000500283446408496,-0.0002467404624475686,-2.8580257286864293e-05,-0.0002854525151499998,0.00036301444306857797,0.0004524653938042973,0.0003072576956474068
16,Arithmetic,14,95,24.0,117.0,0.0003378809177430738,0.003626082195183085,0.0011392397696050665,784.7701778385773,784.0,141.7161156738783,2200.0,573667.0,-0.014103005612963904,3,0.9117693077215391,2.121804159804511e-08,1.0752731077493875e-08,0.08823066030768822,0.9117693077215391,2.647778945609154e-32,0.29842559208119285,0.18542224572668137,5.435873995025661e-05,0.0016561876533920028,0.00012136965995060897,0.012617388417470754,0.0005897894649134496,0.0005000457509170634,0.0004258800265808739,0.0011945197069652075,0.0026928536544807364,-0.0013389527719238456,0.001373782415221923,0.007444683058116998,0.007205423186309356,-0.0031557970510208886,0.00010940809149343332,-0.0006496077456338638,-0.0008498869696410622,-6.678528321987788e-05,0.0021708602450045507,-0.0006423499903743698
17,Pythagorean theorem,6,102,8.0,145.0,0.00030589138821647847,0.0033949028381465374,0.00047818413912850184,3354.90560875513,3292.0,837.0385475460379,10539.0,2452436.0,0.14856287419631037,3,0.9999991179533818,2.964037870210046e-11,1.475011261281891e-11,8.820022278200661e-07,0.9999991179533818,7.882458634493326e-77,1.3179184586347489e-05,8.188687792507262e-06,3.9868612368739076e-05,0.0003514041243287341,0.00010317714548913537,0.0009035280343814658,0.00044661831606517005,0.000264371084687577,0.00039734017439833913,0.0007836282063732863,0.0023906794522156683,-0.0015133648835419945,-0.0001119445548349359,0.0022535154007834214,-0.00035921343314992244,0.0001574863096158622,-0.0001389206026116179,0.00047924386089214454,6.853506415452961e-05,0.00048164585561705957,0.0009318359203201246,0.0003137251512138686
18,Addition,6,85,8.0,124.0,0.00032327096859590385,0.003660305758736697,0.00028362427610628547,531.2571819425444,517.0,148.16659593241005,2216.0,388349.0,-0.11413642964379751,3,0.9999999668645122,4.4363678078489587e-10,4.161395444584802e-10,3.227571132600281e-08,0.9999999668645122,1.7745259862880781e-84,6.083964309735688e-07,3.780179566252638e-07,9.792231647081116e-05,0.0017716531100470875,0.00017058575677757396,0.0016663602438461564,0.001049818415492558,0.0007969846761029624,0.0006377663729582912,0.0015324860423599012,0.0034020471954110546,-0.0015367369280430475,0.0014168132492693771,0.007602544581496121,0.0026525878096401554,-0.0015302945370224976,-0.00015958262111396437,0.0001478687062642064,-0.00012919184913964298,0.00028447270133954023,0.0028872247816727624,-0.00025515682423681306
